name,category,level,damage,autoAttack,delay,isUnique,isTradeable,Strength,Vitality,CriticalHit,Determination,Tenacity,SkillSpeed,DirectHitRate,Dexterity,Intelligence,SpellSpeed,Mind,Piety
Dwarven Mythril Pikenstock,Gladiator's Arm,415,100.0,74.66,2.24,0,1,268.0,294.0,175.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nabaath Sword,Gladiator's Arm,412,111.0,82.88,2.24,1,0,295.0,326.0,0.0,190.0,0.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0
Titanbronze Kilij,Gladiator's Arm,409,99.0,73.92,2.24,0,1,263.0,293.0,0.0,166.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ravel Keeper's Sword,Gladiator's Arm,406,110.0,82.13,2.24,1,0,289.0,325.0,180.0,0.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bluespirit Sword,Gladiator's Arm,403,97.0,72.42,2.24,0,1,258.0,292.0,227.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0
Fae Sword,Gladiator's Arm,400,108.0,80.64,2.24,1,0,285.0,322.0,0.0,175.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deepgold Sword,Gladiator's Arm,395,96.0,71.68,2.24,0,1,251.0,282.0,154.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lakeland Longsword,Gladiator's Arm,390,107.0,79.89,2.24,1,0,272.0,304.0,241.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antea Physeos,Gladiator's Arm,405,109.0,81.38,2.24,1,0,288.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antea Eureka,Gladiator's Arm,405,109.0,81.38,2.24,1,0,288.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Omega Sword,Gladiator's Arm,405,109.0,81.38,2.24,1,0,288.0,325.0,254.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antea,Gladiator's Arm,400,108.0,80.64,2.24,1,0,285.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augmented Scaevan Magitek Katzbalger,Gladiator's Arm,400,108.0,80.64,2.24,1,0,285.0,322.0,0.0,250.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydatos Sword +1,Gladiator's Arm,395,107.0,79.89,2.24,1,0,279.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seiryu's Longsword,Gladiator's Arm,395,107.0,79.89,2.24,1,0,279.0,313.0,245.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydatos Sword,Gladiator's Arm,390,107.0,79.89,2.24,1,0,272.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scaevan Magitek Katzbalger,Gladiator's Arm,390,107.0,79.89,2.24,1,0,272.0,304.0,0.0,241.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yama Blade,Gladiator's Arm,390,96.0,71.68,2.24,0,0,245.0,274.0,217.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pyros Sword,Gladiator's Arm,385,106.0,79.14,2.24,1,0,266.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Suzaku's Longsword,Gladiator's Arm,385,106.0,79.14,2.24,1,0,266.0,296.0,236.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deepgold Anelace,Gladiator's Arm,385,95.0,70.93,2.24,0,1,239.0,266.0,0.0,149.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elemental Sword +2,Gladiator's Arm,380,105.0,78.4,2.24,1,0,259.0,287.0,0.0,162.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rakshasa Blade,Gladiator's Arm,380,95.0,65.86,2.08,0,1,233.0,259.0,0.0,146.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0
Elemental Sword +1,Gladiator's Arm,375,105.0,78.4,2.24,1,0,254.0,279.0,0.0,159.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diamond Sword,Gladiator's Arm,375,105.0,78.4,2.24,1,0,254.0,279.0,159.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curtana Ultima,Gladiator's Arm,375,105.0,78.4,2.24,1,0,254.0,279.0,159.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elemental Sword,Gladiator's Arm,370,104.0,77.65,2.24,1,0,248.0,271.0,0.0,156.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Homura Kai,Gladiator's Arm,370,104.0,77.65,2.24,1,0,248.0,271.0,222.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galatyn Pagos +1,Gladiator's Arm,365,103.0,76.9,2.24,1,0,242.0,264.0,0.0,152.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tsukuyomi's Longsword,Gladiator's Arm,365,103.0,76.9,2.24,1,0,242.0,264.0,0.0,152.0,0.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
Empyrean Blade,Gladiator's Arm,365,103.0,76.9,2.24,1,0,242.0,264.0,0.0,0.0,218.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0
Galatyn Pagos,Gladiator's Arm,360,102.0,76.16,2.24,1,0,236.0,256.0,0.0,149.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Homura,Gladiator's Arm,360,102.0,76.16,2.24,1,0,236.0,256.0,213.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augmented Nightsteel Sword,Gladiator's Arm,360,92.0,71.14,2.32,0,0,212.0,230.0,0.0,192.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0
Galatyn Anemos,Gladiator's Arm,355,101.0,75.41,2.24,1,0,231.0,249.0,0.0,146.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Byakko's Stone Sword,Gladiator's Arm,355,101.0,75.41,2.24,1,0,231.0,249.0,146.0,0.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0
Nightsteel Sword,Gladiator's Arm,350,91.0,70.37,2.32,0,1,203.0,217.0,0.0,184.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0
Galatyn +2,Gladiator's Arm,345,100.0,74.66,2.24,1,0,220.0,234.0,0.0,140.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Genji Shichishito,Gladiator's Arm,345,100.0,74.66,2.24,1,0,220.0,234.0,0.0,140.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ultimate Dreadwyrm Blade,Gladiator's Arm,345,100.0,74.66,2.24,1,0,220.0,234.0,0.0,140.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galatyn +1,Gladiator's Arm,340,99.0,73.92,2.24,1,0,215.0,228.0,0.0,136.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augmented Lost Allagan Saber,Gladiator's Arm,340,99.0,73.92,2.24,1,0,215.0,228.0,0.0,195.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galatyn,Gladiator's Arm,335,98.0,73.17,2.24,1,0,209.0,220.0,0.0,135.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shinryu's Longsword,Gladiator's Arm,335,98.0,73.17,2.24,1,0,209.0,220.0,193.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lost Allagan Saber,Gladiator's Arm,330,98.0,73.17,2.24,1,0,203.0,214.0,0.0,191.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Susano's Longsword,Gladiator's Arm,320,97.0,72.42,2.24,1,0,191.0,200.0,188.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chromite Sword,Gladiator's Arm,320,87.0,64.96,2.24,0,1,172.0,180.0,169.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0
Ala Mhigan Kilij,Gladiator's Arm,310,96.0,71.68,2.24,1,0,181.0,188.0,184.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blade of the Crimson Lotus,Gladiator's Arm,300,95.0,70.93,2.24,1,0,169.0,174.0,0.0,179.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antiquated Galatyn,Gladiator's Arm,290,93.0,69.44,2.24,1,0,159.0,161.0,121.0,0.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0
Shinryu's Ephemeral Longsword,Gladiator's Arm,290,84.0,62.72,2.24,0,1,143.0,145.0,156.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Suzaku's Flame-kissed Longsword,Gladiator's Arm,290,84.0,62.72,2.24,0,1,143.0,145.0,156.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seiryu's Sanctified Longsword,Gladiator's Arm,290,84.0,62.72,2.24,0,1,143.0,145.0,156.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Byakko's Enspirited Stone Sword,Gladiator's Arm,290,84.0,62.72,2.24,0,1,143.0,145.0,109.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0
Enhancing Sword,Gladiator's Arm,288,92.0,68.69,2.24,1,0,155.0,158.0,111.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0
Molybdenum Longsword,Gladiator's Arm,285,81.0,60.48,2.24,0,1,136.0,140.0,130.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
Onikiri Shin,Gladiator's Arm,282,89.0,61.7,2.08,1,0,147.0,154.0,133.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doman Steel Longsword,Gladiator's Arm,279,78.0,58.24,2.24,0,1,129.0,138.0,76.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0
The Eminent Dominion,Gladiator's Arm,276,86.0,61.92,2.16,1,0,139.0,152.0,0.0,0.0,78.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0
Doman Iron Longsword,Gladiator's Arm,273,76.0,52.69,2.08,0,1,120.0,135.0,90.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruby Tide Blade,Gladiator's Arm,270,84.0,62.72,2.24,1,0,130.0,146.0,99.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
High Steel Longsword,Gladiator's Arm,265,75.0,54.0,2.16,0,1,113.0,126.0,61.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghost Barque Anelace,Gladiator's Arm,260,83.0,59.76,2.16,1,0,121.0,134.0,0.0,0.0,95.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
Coven Blade,Gladiator's Arm,280,87.0,64.96,2.24,0,0,144.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aettir Lux,Gladiator's Arm,275,85.0,63.46,2.24,1,0,135.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexandrian Metal Blade,Gladiator's Arm,275,85.0,63.46,2.24,1,0,135.0,152.0,101.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0
Aettir,Gladiator's Arm,270,84.0,62.72,2.24,1,0,130.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augmented Shire Sword,Gladiator's Arm,270,84.0,62.72,2.24,1,0,130.0,146.0,0.0,95.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zurvanite Blade,Gladiator's Arm,265,83.0,61.97,2.24,1,0,125.0,140.0,0.0,0.0,68.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
Sharpened Sword of the Twin Thegns,Gladiator's Arm,260,83.0,61.97,2.24,1,0,121.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shire Sword,Gladiator's Arm,260,83.0,61.97,2.24,1,0,121.0,134.0,0.0,90.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sophic Blade,Gladiator's Arm,255,82.0,61.22,2.24,1,0,116.0,128.0,0.0,62.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0
Kinna Blade,Gladiator's Arm,255,82.0,61.22,2.24,1,0,116.0,128.0,92.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
High Steel Katzbalger,Gladiator's Arm,255,74.0,57.22,2.32,0,1,104.0,115.0,58.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heavy Metal Longsword,Gladiator's Arm,250,73.0,54.5,2.24,0,1,100.0,110.0,57.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
Edenmorn Battleaxe,Marauder's Arm,535,134.0,150.08,3.36,1,0,725.0,836.0,531.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augmented Cryptlurker's War Axe,Marauder's Arm,530,133.0,148.96,3.36,1,0,723.0,830.0,526.0,0.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diamond Zeta Battleaxe,Marauder's Arm,525,132.0,147.84,3.36,1,0,704.0,804.0,365.0,521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cryptlurker's War Axe,Marauder's Arm,520,131.0,146.72,3.36,1,0,686.0,778.0,515.0,0.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augmented Exarchic Axe,Marauder's Arm,520,118.0,132.16,3.36,0,0,617.0,700.0,0.0,464.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augmented Law's Order Labrys,Marauder's Arm,515,130.0,145.6,3.36,1,0,668.0,754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emerald Battleaxe,Marauder's Arm,515,130.0,145.6,3.36,1,0,668.0,754.0,510.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Law's Order Labrys,Marauder's Arm,510,129.0,144.48,3.36,1,0,651.0,730.0,0.0,504.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exarchic Axe,Marauder's Arm,510,116.0,129.92,3.36,0,1,586.0,657.0,0.0,454.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edenchoir Battleaxe,Marauder's Arm,505,128.0,143.36,3.36,1,0,634.0,707.0,498.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skullrender Recollection,Marauder's Arm,500,127.0,142.24,3.36,1,0,617.0,685.0,344.0,0.0,492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augmented Skullrender,Marauder's Arm,500,127.0,142.24,3.36,1,0,617.0,685.0,344.0,0.0,492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augmented Crystarium Labrys,Marauder's Arm,500,127.0,142.24,3.36,1,0,617.0,685.0,344.0,492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Axe of Light,Marauder's Arm,495,126.0,141.12,3.36,1,0,602.0,664.0,487.0,341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crystarium Labrys,Marauder's Arm,490,125.0,140.0,3.36,1,0,587.0,643.0,337.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augmented Neo-Ishgardian Labrys,Marauder's Arm,490,112.0,125.44,3.36,0,0,528.0,579.0,434.0,0.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skullrender,Marauder's Arm,485,124.0,138.88,3.36,1,0,573.0,623.0,334.0,0.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruby Battleaxe,Marauder's Arm,485,124.0,138.88,3.36,1,0,573.0,623.0,477.0,0.0,0.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0
Neo-Ishgardian Labrys,Marauder's Arm,480,111.0,124.32,3.36,0,1,502.0,543.0,425.0,0.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edengrace Battleaxe,Marauder's Arm,475,122.0,136.64,3.36,1,0,544.0,585.0,467.0,0.0,0.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0
Ultimate Ukonvasara,Marauder's Arm,475,122.0,136.64,3.36,1,0,544.0,585.0,467.0,0.0,0.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0
Augmented Deepshadow Axe,Marauder's Arm,470,121.0,135.52,3.36,1,0,530.0,566.0,323.0,462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thumosis,Marauder's Arm,465,120.0,134.4,3.36,1,0,516.0,548.0,455.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deepshadow Axe,Marauder's Arm,460,119.0,133.28,3.36,1,0,502.0,529.0,314.0,448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augmented Alastor,Marauder's Arm,460,107.0,119.84,3.36,0,0,452.0,476.0,282.0,0.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The King's Axe,Marauder's Arm,450,117.0,131.04,3.36,1,0,476.0,494.0,434.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alastor,Marauder's Arm,450,105.0,117.6,3.36,0,1,428.0,445.0,273.0,0.0,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronkan Labrys,Marauder's Arm,440,115.0,128.8,3.36,1,0,451.0,462.0,420.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weathered Chango,Marauder's Arm,430,114.0,127.68,3.36,1,0,437.0,459.0,413.0,0.0,0.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0
Augmented Thumosis,Marauder's Arm,430,103.0,115.36,3.36,0,1,393.0,413.0,372.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Labrys of the Forgiven,Marauder's Arm,418,112.0,125.44,3.36,1,0,421.0,457.0,0.0,399.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0
Dwarven Mythril Hammer,Marauder's Arm,415,100.0,112.0,3.36,0,1,375.0,411.0,0.0,0.0,350.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0
Nabaath Axe,Marauder's Arm,412,111.0,124.32,3.36,1,0,413.0,456.0,0.0,266.0,0.0,379.0,0.0,0.0,0.0,0.0,0.0,0.0
Titanbronze Battleaxe,Marauder's Arm,409,99.0,110.88,3.36,0,1,368.0,410.0,0.0,233.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ravel Keeper's Axe,Marauder's Arm,406,110.0,123.2,3.36,1,0,405.0,455.0,252.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bluespirit Axe,Marauder's Arm,403,97.0,108.64,3.36,0,1,362.0,408.0,318.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0
Fae Axe,Marauder's Arm,400,108.0,120.96,3.36,1,0,399.0,451.0,0.0,350.0,0.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0
Deepgold Axe,Marauder's Arm,395,96.0,107.52,3.36,0,1,351.0,395.0,0.0,0.0,216.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0
Lakeland War Axe,Marauder's Arm,390,107.0,119.84,3.36,1,0,381.0,426.0,337.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shamash Physeos,Marauder's Arm,405,109.0,122.08,3.36,1,0,403.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shamash Eureka,Marauder's Arm,405,109.0,122.08,3.36,1,0,403.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Omega Battleaxe,Marauder's Arm,405,109.0,122.08,3.36,1,0,403.0,455.0,0.0,249.0,0.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0
Shamash,Marauder's Arm,400,108.0,120.96,3.36,1,0,399.0,451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augmented Scaevan Magitek Axe,Marauder's Arm,400,108.0,120.96,3.36,1,0,399.0,451.0,245.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydatos Battleaxe +1,Marauder's Arm,395,107.0,119.84,3.36,1,0,390.0,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seiryu's War Axe,Marauder's Arm,395,107.0,119.84,3.36,1,0,390.0,438.0,343.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydatos Battleaxe,Marauder's Arm,390,107.0,119.84,3.36,1,0,381.0,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scaevan Magitek Axe,Marauder's Arm,390,107.0,119.84,3.36,1,0,381.0,426.0,236.0,0.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yama Axe,Marauder's Arm,390,96.0,107.52,3.36,0,0,343.0,384.0,303.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pyros Battleaxe,Marauder's Arm,385,106.0,118.72,3.36,1,0,372.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Suzaku's Greataxe,Marauder's Arm,385,106.0,118.72,3.36,1,0,372.0,414.0,330.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deepgold Battleaxe,Marauder's Arm,385,95.0,106.4,3.36,0,1,335.0,373.0,0.0,208.0,0.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0
Elemental Battleaxe +2,Marauder's Arm,380,105.0,117.6,3.36,1,0,363.0,402.0,227.0,0.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0
Rakshasa Axe,Marauder's Arm,380,95.0,106.4,3.36,0,1,327.0,362.0,292.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
